year,open,high,low,close,volume,Ticker_symbol,ROE,ROA,PE,PB
2022,79.93020080321284,81.48104417670682,78.50465863453815,79.87614457831326,754555.4618473896,GAS,0.266751862,0.183339535,9.999657653,2.414113576
2021,65.94672,66.84356,64.91044000000001,65.82784,1140137.6,GAS,0.170572512,0.122174677,23.1818536,3.802108789
2020,50.55996031746032,51.19230158730159,49.977063492063486,50.516269841269846,739019.9603174604,GAS,0.15850312,0.125291204,24.31185231,3.801375288
2024,26.968040000000002,27.2082,26.71528,26.93376,21761037.708,HPG,0.110715804,0.058309034,14.82042452,1.557746982
2023,21.999236947791168,22.290361445783134,21.696706827309235,21.99253012048193,23444411.859437753,HPG,0.068770824,0.038172124,23.8587381,1.507862798
2022,23.297349397590363,23.67987951807229,22.87670682730924,23.211285140562246,25792441.14457831,HPG,0.090911048,0.048675809,19.25332083,1.692820537
2021,31.12824,31.544919999999998,30.719279999999998,31.113,25501844.0,HPG,0.459707314,0.222620706,2.407519406,0.88840679
2020,12.181230158730159,12.371746031746031,12.031587301587301,12.217817460317459,12975567.261904761,HPG,0.251392388,0.115310954,11.7875156,2.602566611
2024,22.33712,22.62404,22.06364,22.344279999999998,4092715.5,LPB,0.251005413,0.021815462,9.340223868,2.095037927
2023,11.115341365461846,11.283895582329318,10.98429718875502,11.102369477911646,7167299.863453816,LPB,0.191576461,0.015683015,14.34350036,2.342661296
2022,9.08124497991968,9.2644578313253,8.885983935742972,9.053734939759037,8502754.795180723,LPB,0.22078222,0.014621373,6.807921911,1.132123704
2021,10.67704,10.87192,10.47752,10.672960000000002,11215808.4,LPB,0.18517012,0.010811097,6.026428223,0.938409176
2020,3.8242561983471077,3.9043801652892562,3.7458677685950414,3.838719008264463,5369250.946280992,LPB,0.138888626,0.008379405,15.37354422,1.68387499
2024,20.41668,20.636599999999998,20.2166,20.41844,16655615.684,MBB,0.214727834,0.022134984,5.485964347,1.107172734
2023,14.56987951807229,14.69421686746988,14.429196787148594,14.553975903614457,9051672.65060241,MBB,0.238807501,0.025161599,6.855480629,1.411216996
2022,15.962730923694778,16.209397590361444,15.703975903614458,15.92706827309237,11982576.570281124,MBB,0.255528246,0.027185079,4.836705514,1.113362073
2021,15.59972,15.80216,15.37796,15.594959999999999,16999603.6,MBB,0.234869231,0.02399268,5.434712532,1.084506617
2020,7.444722222222222,7.532182539682539,7.3573015873015875,7.44281746031746,7392968.492063492,MBB,0.191276534,0.018988034,10.4855798,1.688373554
2024,113.13456,114.90356,111.70632,113.87424,104348.004,MCH,0.427812419,0.22799046,14.0209226,10.22495715
2023,44.100602409638554,44.533855421686745,43.68481927710844,44.16389558232932,28649.449799196787,MCH,0.297085764,0.191311675,26.36246458,7.245331175
2022,55.45598393574298,56.0389156626506,54.49662650602409,55.218755020080316,14959.172690763053,MCH,0.284410079,0.171093872,11.63700152,2.894171284
2021,63.8956,64.69968,63.0154,63.69604,20670.288,MCH,0.347866073,0.195277124,10.00284963,3.316341944
2020,38.790396825396826,39.19238095238095,38.43503968253968,38.856071428571425,40111.78571428572,MCH,0.33872664,0.196521857,18.31592278,6.046511098
2024,73.308,74.104,72.5152,73.1824,4811810.444,MSN,0.070387404,0.013554404,52.29627125,3.456888469
2023,77.43333333333334,78.33614457831325,76.27670682730924,77.25301204819277,1502454.4297188756,MSN,0.015886071,0.00290029,239.217182,3.771107751
2022,108.60489959839357,110.78759036144578,106.49915662650602,108.52004016064258,961737.048192771,MSN,0.120989726,0.026675483,26.74226761,3.647416712
2021,98.53888,100.23352,97.01464,98.70591999999999,1885157.6,MSN,0.254216182,0.070817358,12.8215859,3.346127437
2020,50.17373015873016,51.00365079365079,49.50353174603175,50.38547619047619,1693575.5158730159,MSN,0.032085364,0.011584846,162.7826234,12.60354982
2024,13.598,13.7736,13.3774,13.5312,16734455.004,NVL,-0.168895962,-0.026733572,-3.132766071,0.530298364
2023,15.184337349397591,15.499799196787148,14.829317269076306,15.128313253012047,27843856.34939759,NVL,0.016044298,0.002426092,33.00741482,0.52536725
2022,70.30662650602409,71.0698795180723,69.23253012048194,70.2371485943775,6720944.0200803215,NVL,0.059662777,0.009409137,15.37843991,0.888034687
2021,70.36224,71.29576,69.48960000000001,70.4676,2937263.2,NVL,0.088220383,0.018619904,8.380936888,0.77139795
2020,32.65194444444444,33.00178571428572,32.28496031746032,32.720753968253966,1209591.388888889,NVL,0.138990877,0.033422696,22.90133236,3.467397212
2024,54.7806,55.25932,54.23732,54.64204,885856.724,SAB,0.182341923,0.128307189,15.40219455,2.864569186
2023,72.14449799196787,72.79084337349397,71.31196787148595,71.89650602409638,293425.859437751,SAB,0.173912501,0.120183972,17.7263975,2.939917989
2022,74.94730923694779,76.04566265060241,73.99477911646586,75.10935742971887,165107.2690763052,SAB,0.235511426,0.160852426,7.954695131,1.745903264
2021,71.71704,72.38392,70.84411999999999,71.57824000000001,166877.2,SAB,0.167872501,0.127104232,29.89449339,5.043468627
2020,77.06583333333333,78.30154761904762,76.02702380952381,76.89960317460317,101214.48412698413,SAB,0.228787725,0.173857881,21.25173397,4.856185462
2024,22.22468,22.44616,21.99748,22.23548,11348881.596,TCB,0.155676347,0.0238039,9.026811861,1.336023592
2023,14.881646586345383,15.035301204819277,14.70855421686747,14.869638554216868,4150453.0843373495,TCB,0.148472,0.023494601,4.82286415,0.666388358
2022,18.36730923694779,18.611004016064257,18.10020080321285,18.30947791164659,6670049.012048192,TCB,0.197963661,0.032240175,5.561161881,0.996011732
2021,22.81632,23.15212,22.49832,22.8198,15553041.2,TCB,0.219680222,0.03652643,5.038075278,0.984408774
2020,10.364960317460318,10.51297619047619,10.234444444444444,10.378690476190476,6946684.761904762,TCB,0.184105527,0.030565846,14.2452803,2.363997602
2024,91.0296,91.7384,90.436,90.9496,1492713.872,VCB,0.186022149,0.017249955,15.36399772,2.613828249
2023,82.73983935742973,83.53325301204819,81.94449799196788,82.81927710843374,1005433.4979919678,VCB,0.219880166,0.01809503,16.74800983,3.090766546
2022,66.74056224899599,67.65425702811245,65.7925702811245,66.71835341365461,1243987.8674698796,VCB,0.244404254,0.018532607,14.2824498,2.803389829
2021,65.38832,66.17036,64.51747999999999,65.38596,1465793.2,VCB,0.215922336,0.016008628,15.07780081,2.721355866
2020,54.05551587301587,54.68345238095238,53.49880952380953,54.18134920634921,1075419.8412698412,VCB,0.211141082,0.014494224,18.18734156,3.108814797
2024,66.4728,68.51360000000001,65.0212,66.8888,1345680.212,VGI,0.174500113,0.097235662,44.62508767,7.277551416
2023,23.672289156626505,24.073493975903617,23.263453815261045,23.69437751004016,680849.092369478,VGI,0.021035698,0.012115181,445.6267729,9.238940398
2022,29.222088353413657,29.97751004016064,28.416064257028115,29.157831325301206,781713.6064257028,VGI,0.028702248,0.016171285,94.63156073,2.70668286
2021,35.390800000000006,36.1096,34.611599999999996,35.3936,767454.552,VGI,-0.012533873,-0.006555424,-152.7696623,2.104763609
2020,27.35952380952381,27.903968253968255,26.81984126984127,27.405158730158732,584507.126984127,VGI,0.019052083,0.009335151,199.0013786,3.191970389
2024,41.268800000000006,41.6554,40.7966,41.1836,9561705.724,VHM,0.165330851,0.062718463,5.478346179,0.854691082
2023,49.291365461847384,49.933534136546186,48.52269076305221,49.1781124497992,3927697.4618473896,VHM,0.205669377,0.082761938,5.219279643,0.971405233
2022,62.58200803212851,63.332650602409636,61.55481927710843,62.5540562248996,3553216.3453815263,VHM,0.213597771,0.097347465,6.524557966,1.295395865
2021,77.51303999999999,78.53067999999999,76.42592,77.46527999999999,5681948.0,VHM,0.352090621,0.174162543,5.383438453,1.675542155
2020,57.07757936507936,57.858809523809526,56.42603174603175,57.174484126984126,1862058.7698412698,VHM,0.355569404,0.132590601,10.0419483,3.204883338
2024,43.0802,43.4684,42.6494,42.996,2677398.216,VIC,0.093255785,0.015575702,13.86472034,1.179557117
